user_id,book_id,is_read,rating,is_reviewed
0,881,0,0,1
0,873,1,4,0
0,847,1,5,1
0,846,1,5,1
0,815,0,0,1
0,810,1,2,0
0,802,1,3,1
0,756,0,0,0
0,748,1,4,0
0,729,1,4,1
0,726,1,3,1
0,644,1,4,1
0,640,0,0,0
0,604,0,0,0
0,498,0,0,0
0,468,0,0,0
0,464,0,0,0
0,463,0,0,0
0,453,1,4,1
0,428,1,4,0
0,403,1,3,1
0,372,0,0,0
0,346,1,5,0
0,339,1,5,0
0,304,0,0,0
0,284,1,5,0
0,265,1,5,1
0,189,0,0,0
0,148,0,0,0
0,137,0,0,0
0,83,0,0,0
0,75,0,0,0
0,8,0,0,0
1,1049,0,0,0
1,1046,0,0,0
1,1040,1,5,0
1,1036,1,5,0
1,1023,1,5,0
1,1011,1,4,0
1,994,1,5,0
1,968,1,5,0
1,961,0,0,0
2,941,1,3,0
2,1011,1,3,0
2,1199,1,4,0
2,1177,1,3,0
2,499,1,4,0
2,1146,1,3,0
2,1138,1,3,0
2,66,1,3,0
2,1047,1,4,0
2,1077,1,4,0
2,1067,1,4,0
3,1427,0,0,0
3,1406,0,0,0
3,1397,0,0,0
3,1386,0,0,0
3,1383,1,4,0
3,1367,0,0,0
3,1354,0,0,0
3,1349,1,0,0
3,1306,1,0,0
3,1274,0,0,0
3,1273,0,0,0
3,1248,1,0,0
3,1242,0,0,0
4,1631,1,5,0
4,1624,1,3,0
4,1602,1,3,0
4,1473,1,5,0
4,1587,1,3,0
4,1577,1,3,0
4,1551,1,3,0
4,1518,1,3,0
4,1510,1,3,0
4,1503,1,4,0
5,7075,1,5,0
5,7066,0,0,0
5,7053,1,3,0
5,7052,1,3,0
5,7042,1,5,0
5,7041,1,4,0
5,7029,1,3,0
5,6999,1,5,0
5,6986,1,5,0
5,6983,0,0,0
5,6965,0,0,0
5,6961,0,0,0
5,6939,1,4,0
5,6935,0,0,0
5,6904,0,0,0
5,6898,1,4,0
5,6867,0,0,0
5,6864,0,0,0
5,6797,0,0,0
5,6764,0,0,0
5,6738,0,0,0
5,6702,1,4,0
5,6695,0,0,0
5,6688,0,0,0
5,6686,1,3,0
